HOY,xP,yP,zP,xV,yV,zV,,,
588,31304.66733,-181430.3947,78121.88992,-0.156523337,0.907151973,-0.39060945,-200000.00000,-200000,-200000
589,-18030.16456,-182704.0114,79335.72583,0.090150823,0.913520057,-0.396678629,-200000.00000,-200000,-200000
590,-66142.68418,-174523.2876,71880.22954,0.330713421,0.872616438,-0.359401148,-200000.00000,-200000,-200000
591,-109754.7982,-157442.8451,56263.97428,0.548773991,0.787214225,-0.281319871,-200000.00000,-200000,-200000
592,-145894.6192,-132623.7174,33551.59728,0.729473096,0.663118587,-0.167757986,-200000.00000,-200000,-200000
593,-172098.9807,-101754.3248,5291.335213,0.860494903,0.508771624,-0.026456676,-200000.00000,-200000,-200000
609,154320.4816,-124371.4498,26775.57581,-0.771602408,0.621857249,-0.133877879,-200000.00000,-200000,-200000
610,120666.6884,-151032.8026,51270.29229,-0.603333442,0.755164013,-0.256351461,-200000.00000,-200000,-200000
611,78787.45849,-170367.5077,69046.71393,-0.393937292,0.851837539,-0.34523357,-200000.00000,-200000,-200000
612,31535.07149,-181055.742,78894.59776,-0.157675357,0.90527871,-0.394472989,-200000.00000,-200000,-200000
613,-17871.75005,-182366.6146,80143.73616,0.08935875,0.911833073,-0.400718681,-200000.00000,-200000,-200000
614,-66067.09168,-174208.0385,72709.68788,0.330335458,0.871040193,-0.363548439,-200000.00000,-200000,-200000
615,-109767.1547,-157133.0862,57099.60558,0.548835774,0.785665431,-0.285498028,-200000.00000,-200000,-200000
616,-145993.9985,-132302.3892,34377.75763,0.729969993,0.661511946,-0.171888788,-200000.00000,-200000,-200000
617,-172278.4724,-101405.1391,6093.088084,0.861392362,0.507025695,-0.03046544,-200000.00000,-200000,-200000
633,154653.916,-123818.2136,27408.32399,-0.77326958,0.619091068,-0.13704162,-200000.00000,-200000,-200000
634,120983.3396,-150542.3759,51961.76089,-0.604916698,0.75271188,-0.259808804,-200000.00000,-200000,-200000
635,79065.56169,-169934.4681,69791.93006,-0.395327808,0.849672341,-0.34895965,-200000.00000,-200000,-200000
636,31755.53245,-180670.6861,79684.93809,-0.158777662,0.90335343,-0.39842469,-200000.00000,-200000,-200000
637,-17724.04395,-182016.8082,80967.52317,0.08862022,0.910084041,-0.404837616,-200000.00000,-200000,-200000
638,-66002.23542,-173878.2957,73552.99578,0.330011177,0.869391479,-0.367764979,-200000.00000,-200000,-200000
639,-109789.5357,-156806.816,57947.22012,0.548947678,0.78403408,-0.289736101,-200000.00000,-200000,-200000
640,-146101.9997,-131962.7377,35214.22369,0.730509998,0.659813689,-0.176071118,-200000.00000,-200000,-200000
641,-172464.5888,-101036.1495,6903.772984,0.862322944,0.505180748,-0.034518865,-200000.00000,-200000,-200000
657,154983.0144,-123258.9484,28062.37513,-0.774915072,0.616294742,-0.140311876,-200000.00000,-200000,-200000
658,121293.2131,-150044.8454,52673.53057,-0.606466066,0.750224227,-0.263367653,-200000.00000,-200000,-200000
659,79334.91153,-169492.8188,70556.05004,-0.396674558,0.847464094,-0.35278025,-200000.00000,-200000,-200000
660,31965.86659,-180275.1875,80492.48511,-0.159829333,0.901375937,-0.402462426,-200000.00000,-200000,-200000
661,-17587.14108,-181654.5259,81806.636,0.087935705,0.908272629,-0.40903318,-200000.00000,-200000,-200000
662,-65948.11492,-173533.984,74409.69379,0.329740575,0.86766992,-0.372048469,-200000.00000,-200000,-200000
663,-109821.8454,-156463.9686,58806.36689,0.549109227,0.782319843,-0.294031834,-200000.00000,-200000,-200000
664,-146218.4384,-131604.7249,36060.56937,0.731092192,0.658023624,-0.180302847,-200000.00000,-200000,-200000
665,-172657.0699,-100647.3617,7723.003404,0.86328535,0.503236809,-0.038615017,-200000.00000,-200000,-200000
681,155307.4274,-122693.7749,28737.44264,-0.776537137,0.613468874,-0.143687213,-200000.00000,-200000,-200000
682,121595.999,-149540.2678,53405.2556,-0.607979995,0.747701339,-0.267026278,-200000.00000,-200000,-200000
683,79595.25874,-169042.5622,71338.67791,-0.397976294,0.845212811,-0.35669339,-200000.00000,-200000,-200000
684,32165.90245,-179869.2078,81316.80508,-0.160829512,0.899346039,-0.406584025,-200000.00000,-200000,-200000
685,-17461.12334,-181279.7048,82660.6181,0.087305617,0.906398524,-0.413303091,-200000.00000,-200000,-200000
686,-65904.71691,-173175.034,75279.31906,0.329523585,0.86587517,-0.376396595,-200000.00000,-200000,-200000
687,-109863.9764,-156104.487,59676.59374,0.549319882,0.780522435,-0.298382969,-200000.00000,-200000,-200000
688,-146343.1204,-131228.3231,36916.36935,0.731715602,0.656141615,-0.184581847,-200000.00000,-200000,-200000
689,-172855.648,-100238.7934,8550.395207,0.86427824,0.501193967,-0.042751976,-200000.00000,-200000,-200000
705,155626.8116,-122122.8097,29433.22726,-0.778134058,0.610614049,-0.147166136,-200000.00000,-200000,-200000
706,121891.396,-149028.6971,54156.57885,-0.60945698,0.745143485,-0.270782894,-200000.00000,-200000,-200000
707,79846.36498,-168583.6997,72139.40809,-0.399231825,0.842918498,-0.36069704,-200000.00000,-200000,-200000
708,32355.48099,-179452.7101,82157.45669,-0.161777405,0.89726355,-0.410787283,-200000.00000,-200000,-200000
709,-17346.05952,-180892.2859,83529.00762,0.086730298,0.90446143,-0.417645038,-200000.00000,-200000,-200000
